n,score,ave score,test score
264,0.0,1.32,-
265,0.0,1.31,-
266,0.0,1.26,-
267,2.0,1.28,-
268,0.0,1.28,-
269,2.0,1.27,-
270,1.0,1.26,-
271,2.0,1.27,-
272,4.0,1.31,-
273,0.0,1.3,-
274,5.0,1.35,-
275,0.0,1.34,-
276,0.0,1.34,-
277,0.0,1.34,-
278,4.0,1.36,-
279,1.0,1.36,-
280,0.0,1.35,-
281,2.0,1.36,-
282,2.0,1.35,-
283,0.0,1.35,-
284,0.0,1.33,-
285,0.0,1.31,-
286,2.0,1.32,-
287,1.0,1.33,-
288,3.0,1.33,-
289,1.0,1.34,-
290,0.0,1.34,-
291,2.0,1.31,-
292,1.0,1.31,-
293,0.0,1.28,-
294,0.0,1.27,-
295,0.0,1.24,-
296,1.0,1.24,-
297,1.0,1.25,-
298,0.0,1.24,-
299,6.0,1.29,-
300,2.0,1.27,0.0
301,0.0,1.27,-
302,2.0,1.28,-
303,1.0,1.28,-
304,2.0,1.29,-
305,1.0,1.29,-
306,3.0,1.28,-
307,2.0,1.26,-
308,2.0,1.27,-
309,3.0,1.29,-
310,2.0,1.3,-
311,1.0,1.3,-
312,1.0,1.3,-
313,4.0,1.32,-
314,0.0,1.3,-
315,1.0,1.3,-
316,0.0,1.28,-
317,1.0,1.29,-
318,2.0,1.3,-
319,1.0,1.3,-
320,2.0,1.31,-
321,0.0,1.29,-
322,1.0,1.27,-
323,1.0,1.26,-
324,4.0,1.3,-
325,2.0,1.3,-
326,0.0,1.27,-
327,0.0,1.26,-
328,6.0,1.32,-
329,1.0,1.32,-
330,4.0,1.36,-
331,0.0,1.34,-
332,0.0,1.3,-
333,2.0,1.3,-
334,1.0,1.29,-
335,3.0,1.28,-
336,0.0,1.27,-
337,0.0,1.24,-
338,1.0,1.23,-
339,1.0,1.23,-
340,0.0,1.22,-
341,4.0,1.24,-
342,3.0,1.25,-
343,0.0,1.25,-
344,2.0,1.27,-
345,0.0,1.25,-
346,0.0,1.25,-
347,0.0,1.24,-
348,2.0,1.25,-
349,0.0,1.25,-
350,1.0,1.26,0.0
351,0.0,1.26,-
352,1.0,1.26,-
353,3.0,1.29,-
354,1.0,1.3,-
355,0.0,1.29,-
356,3.0,1.31,-
357,3.0,1.32,-
358,0.0,1.31,-
359,0.0,1.26,-
360,1.0,1.27,-
361,0.0,1.27,-
362,3.0,1.3,-
363,0.0,1.3,-
364,2.0,1.32,-
365,3.0,1.35,-
366,2.0,1.37,-
367,1.0,1.36,-
368,2.0,1.38,-
369,1.0,1.37,-
370,0.0,1.36,-
371,0.0,1.34,-
372,1.0,1.31,-
373,2.0,1.33,-
374,2.0,1.3,-
375,1.0,1.31,-
376,2.0,1.33,-
377,1.0,1.34,-
378,1.0,1.31,-
379,4.0,1.34,-
380,1.0,1.35,-
381,2.0,1.35,-
