
Average reward over all Episodes: 1.34
Average reward over all Episodes: 1.66
Average reward over last 100 Episodes: 3.3
Average reward over last 100 Episodes: 5.19
Average reward over last 100 Episodes: 5.53
Average reward over last 100 Episodes: 5.9
Average reward over last 100 Episodes: 6.65
Average reward over last 100 Episodes: 6.74
Average reward over last 100 Episodes: 6.51
Average reward over last 100 Episodes: 6.48
Average reward over last 100 Episodes: 6.84
Average reward over last 100 Episodes: 7.17
Average reward over last 100 Episodes: 6.67
Average reward over last 100 Episodes: 6.82
Average reward over last 100 Episodes: 7.55
Average reward over last 100 Episodes: 7.86
Average reward over last 100 Episodes: 8.21
Average reward over last 100 Episodes: 8.36
Average reward over last 100 Episodes: 8.22
Average reward over last 100 Episodes: 8.49
Average reward over last 100 Episodes: 9.31
Average reward over last 100 Episodes: 10.01
Average reward over last 100 Episodes: 10.25
Average reward over last 100 Episodes: 10.92
Average reward over last 100 Episodes: 12.44
Average reward over last 100 Episodes: 13.89
Average reward over last 100 Episodes: 16.26
Average reward over last 100 Episodes: 18.53
Average reward over last 100 Episodes: 19.77
Average reward over last 100 Episodes: 21.96
Average reward over last 100 Episodes: 26.82
Average reward over last 100 Episodes: 33.26
Average reward over last 100 Episodes: 42.83
Average reward over last 100 Episodes: 55.99
Average reward over last 100 Episodes: 48.04
Average reward over last 100 Episodes: 16.64
Average reward over last 100 Episodes: 8.56
Average reward over last 100 Episodes: 38.45
Average reward over last 100 Episodes: 47.51
Average reward over last 100 Episodes: 38.82
Average reward over last 100 Episodes: 51.32
Average reward over last 100 Episodes: 67.37
Average reward over last 100 Episodes: 85.74
Average reward over last 100 Episodes: 80.08
Average reward over last 100 Episodes: 64.41
Average reward over last 100 Episodes: 32.82
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 18.46
Average reward over last 100 Episodes: 18.46
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 1.99
Average reward over last 100 Episodes: 18.29
Average reward over last 100 Episodes: 30.62
Average reward over last 100 Episodes: 14.6
Average reward over last 100 Episodes: 0.28
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 23.44
Average reward over last 100 Episodes: 23.54
Average reward over last 100 Episodes: 0.11
Average reward over last 100 Episodes: 8.26
Average reward over last 100 Episodes: 8.31
Average reward over last 100 Episodes: 0.06
Average reward over last 100 Episodes: 8.97
Average reward over last 100 Episodes: 9.16
Average reward over last 100 Episodes: 33.74
Average reward over last 100 Episodes: 40.47
Average reward over last 100 Episodes: 6.92
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 14.08
Average reward over last 100 Episodes: 42.76
Average reward over last 100 Episodes: 30.28
Average reward over last 100 Episodes: 1.6
Average reward over last 100 Episodes: 1.83
Average reward over last 100 Episodes: 1.83
Average reward over last 100 Episodes: 7.53
Average reward over last 100 Episodes: 7.98
Average reward over last 100 Episodes: 0.45
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
