
Average reward over all Episodes: 1.12
Average reward over all Episodes: 1.86
Average reward over last 100 Episodes: 4.09
Average reward over last 100 Episodes: 5.36
Average reward over last 100 Episodes: 5.2
Average reward over last 100 Episodes: 5.82
Average reward over last 100 Episodes: 6.55
Average reward over last 100 Episodes: 6.98
Average reward over last 100 Episodes: 7.48
Average reward over last 100 Episodes: 7.29
Average reward over last 100 Episodes: 7.41
Average reward over last 100 Episodes: 7.5
Average reward over last 100 Episodes: 7.16
Average reward over last 100 Episodes: 6.85
Average reward over last 100 Episodes: 7.12
Average reward over last 100 Episodes: 7.68
Average reward over last 100 Episodes: 7.58
Average reward over last 100 Episodes: 8.1
Average reward over last 100 Episodes: 8.17
Average reward over last 100 Episodes: 8.54
Average reward over last 100 Episodes: 9.47
Average reward over last 100 Episodes: 9.93
Average reward over last 100 Episodes: 11.06
Average reward over last 100 Episodes: 12.11
Average reward over last 100 Episodes: 12.36
Average reward over last 100 Episodes: 13.68
Average reward over last 100 Episodes: 15.94
Average reward over last 100 Episodes: 18.56
Average reward over last 100 Episodes: 21.39
Average reward over last 100 Episodes: 24.39
Average reward over last 100 Episodes: 29.26
Average reward over last 100 Episodes: 37.65
Average reward over last 100 Episodes: 45.35
Average reward over last 100 Episodes: 51.72
Average reward over last 100 Episodes: 38.58
Average reward over last 100 Episodes: 10.71
Average reward over last 100 Episodes: 16.65
Average reward over last 100 Episodes: 49.86
Average reward over last 100 Episodes: 46.15
Average reward over last 100 Episodes: 41.65
Average reward over last 100 Episodes: 63.68
Average reward over last 100 Episodes: 78.15
Average reward over last 100 Episodes: 90.0
Average reward over last 100 Episodes: 100.12
Average reward over last 100 Episodes: 58.44
Average reward over last 100 Episodes: 5.14
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 6.34
Average reward over last 100 Episodes: 23.29
Average reward over last 100 Episodes: 16.95
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 12.11
Average reward over last 100 Episodes: 31.5
Average reward over last 100 Episodes: 29.3
Average reward over last 100 Episodes: 10.04
Average reward over last 100 Episodes: 0.13
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 18.31
Average reward over last 100 Episodes: 23.31
Average reward over last 100 Episodes: 5.04
Average reward over last 100 Episodes: 7.59
Average reward over last 100 Episodes: 7.61
Average reward over last 100 Episodes: 0.06
Average reward over last 100 Episodes: 6.44
Average reward over last 100 Episodes: 6.71
Average reward over last 100 Episodes: 17.81
Average reward over last 100 Episodes: 25.15
Average reward over last 100 Episodes: 11.32
Average reward over last 100 Episodes: 3.71
Average reward over last 100 Episodes: 11.16
Average reward over last 100 Episodes: 27.3
Average reward over last 100 Episodes: 26.12
Average reward over last 100 Episodes: 10.04
Average reward over last 100 Episodes: 1.46
Average reward over last 100 Episodes: 1.4
Average reward over last 100 Episodes: 2.56
Average reward over last 100 Episodes: 7.53
Average reward over last 100 Episodes: 4.97
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
