,0
532,5.0
533,7.0
534,7.0
535,4.0
536,8.0
537,11.0
538,7.0
539,8.0
540,7.0
541,3.0
542,3.0
543,3.0
544,11.0
545,11.0
546,3.0
547,7.0
548,7.0
549,7.0
550,11.0
551,4.0
552,4.0
553,12.0
554,11.0
555,4.0
556,6.0
557,3.0
558,8.0
559,7.0
560,11.0
561,7.0
562,7.0
563,7.0
564,9.0
565,7.0
566,7.0
567,3.0
568,11.0
569,7.0
570,11.0
571,7.0
572,8.0
573,4.0
574,7.0
575,7.0
576,9.0
577,7.0
578,7.0
579,6.0
580,11.0
581,7.0
582,8.0
583,4.0
584,12.0
585,11.0
586,11.0
587,11.0
588,5.0
589,8.0
590,3.0
591,5.0
592,7.0
593,8.0
594,11.0
595,11.0
596,3.0
597,11.0
598,4.0
599,3.0
600,7.0
601,7.0
602,4.0
603,8.0
604,8.0
605,7.0
606,7.0
607,3.0
608,7.0
609,8.0
610,12.0
611,11.0
612,6.0
613,7.0
614,7.0
615,11.0
616,7.0
617,7.0
618,5.0
619,8.0
620,8.0
621,7.0
622,13.0
623,8.0
624,7.0
625,3.0
626,7.0
627,11.0
628,7.0
629,7.0
630,5.0
631,13.0
632,6.0
633,2.0
634,5.0
635,12.0
636,7.0
637,3.0
638,8.0
639,1.0
640,4.0
641,8.0
642,4.0
643,3.0
644,7.0
645,11.0
646,11.0
647,11.0
648,8.0
649,8.0
650,7.0
651,4.0
652,5.0
653,7.0
654,5.0
655,8.0
656,7.0
657,3.0
658,12.0
659,11.0
660,4.0
661,4.0
662,7.0
663,8.0
664,10.0
665,8.0
666,3.0
667,11.0
668,7.0
669,11.0
670,4.0
671,4.0
672,3.0
673,4.0
674,5.0
675,7.0
676,7.0
677,3.0
678,7.0
679,8.0
680,11.0
681,3.0
682,11.0
683,11.0
684,12.0
685,9.0
686,10.0
687,11.0
688,8.0
689,11.0
690,9.0
691,7.0
692,4.0
693,8.0
694,7.0
695,11.0
696,8.0
697,8.0
698,3.0
699,4.0
700,7.0
701,11.0
702,8.0
703,8.0
704,7.0
705,9.0
706,12.0
707,3.0
708,2.0
709,10.0
710,3.0
711,9.0
712,7.0
713,8.0
714,12.0
715,8.0
716,3.0
717,3.0
718,12.0
719,8.0
720,12.0
721,13.0
722,7.0
723,7.0
724,3.0
725,7.0
726,7.0
727,13.0
728,7.0
729,7.0
730,8.0
731,12.0
732,3.0
733,7.0
734,3.0
735,8.0
736,13.0
737,6.0
738,7.0
739,8.0
740,11.0
741,11.0
742,12.0
743,7.0
744,4.0
745,3.0
746,2.0
747,7.0
748,5.0
749,4.0
750,8.0
751,4.0
752,11.0
753,10.0
754,8.0
755,12.0
756,8.0
757,12.0
758,4.0
759,11.0
760,13.0
761,11.0
762,5.0
763,9.0
764,9.0
765,7.0
766,4.0
767,11.0
768,12.0
769,11.0
770,3.0
771,11.0
772,11.0
773,7.0
774,8.0
775,8.0
776,8.0
777,10.0
778,9.0
779,7.0
780,13.0
781,8.0
782,11.0
783,5.0
784,3.0
785,11.0
786,9.0
787,7.0
788,11.0
789,8.0
790,3.0
791,2.0
792,12.0
793,11.0
794,8.0
795,9.0
796,11.0
797,9.0
798,4.0
799,5.0
800,8.0
801,11.0
802,11.0
803,4.0
804,8.0
805,8.0
806,11.0
807,9.0
808,4.0
809,14.0
810,9.0
811,5.0
812,4.0
813,11.0
814,5.0
815,6.0
816,8.0
817,10.0
818,7.0
819,4.0
820,7.0
821,8.0
822,3.0
823,12.0
824,5.0
825,9.0
826,8.0
827,9.0
828,8.0
829,10.0
830,5.0
831,3.0
832,7.0
833,5.0
834,11.0
835,9.0
836,9.0
837,4.0
838,5.0
839,12.0
840,7.0
841,11.0
842,12.0
843,11.0
844,12.0
845,8.0
846,5.0
847,8.0
848,7.0
849,8.0
850,11.0
851,8.0
852,11.0
853,12.0
854,9.0
855,11.0
856,9.0
857,4.0
858,4.0
859,7.0
860,4.0
861,8.0
862,13.0
863,9.0
864,4.0
865,11.0
866,9.0
867,4.0
868,11.0
869,8.0
870,12.0
871,8.0
872,9.0
873,3.0
874,12.0
875,12.0
876,5.0
877,12.0
878,6.0
879,5.0
880,7.0
881,10.0
882,12.0
883,9.0
884,13.0
885,9.0
886,7.0
887,8.0
888,12.0
889,8.0
890,7.0
891,12.0
892,8.0
893,8.0
894,8.0
895,12.0
896,4.0
897,12.0
898,9.0
899,1.0
900,13.0
901,3.0
902,11.0
903,8.0
904,7.0
905,8.0
906,4.0
907,10.0
908,7.0
909,12.0
910,7.0
911,11.0
912,12.0
913,12.0
914,11.0
915,6.0
916,6.0
917,5.0
918,8.0
919,8.0
920,11.0
921,11.0
922,8.0
923,12.0
924,4.0
925,4.0
926,12.0
927,12.0
928,8.0
929,8.0
930,7.0
931,9.0
932,8.0
933,6.0
934,3.0
935,11.0
936,12.0
937,8.0
938,4.0
939,5.0
940,12.0
941,10.0
942,5.0
943,8.0
944,12.0
945,12.0
946,4.0
947,9.0
948,9.0
949,9.0
950,4.0
951,4.0
952,6.0
953,8.0
954,11.0
955,4.0
956,11.0
957,12.0
958,10.0
959,8.0
960,9.0
961,5.0
962,10.0
963,10.0
964,9.0
965,9.0
966,8.0
967,12.0
968,8.0
969,7.0
970,8.0
971,7.0
972,12.0
973,12.0
974,11.0
975,12.0
976,17.0
977,11.0
978,8.0
979,11.0
980,4.0
981,7.0
982,8.0
983,11.0
984,3.0
985,3.0
986,10.0
987,8.0
988,5.0
989,8.0
990,5.0
991,8.0
992,4.0
993,13.0
994,9.0
995,11.0
996,4.0
997,9.0
998,16.0
999,10.0
1000,8.0
1001,12.0
1002,12.0
1003,11.0
1004,5.0
1005,9.0
1006,5.0
1007,5.0
1008,13.0
1009,4.0
1010,3.0
1011,11.0
1012,8.0
1013,14.0
1014,12.0
1015,13.0
1016,12.0
1017,5.0
1018,13.0
1019,4.0
1020,13.0
1021,9.0
1022,16.0
1023,5.0
1024,8.0
1025,6.0
1026,11.0
1027,11.0
1028,6.0
1029,4.0
1030,12.0
1031,8.0
1032,5.0
1033,8.0
1034,9.0
1035,11.0
1036,14.0
1037,13.0
1038,8.0
1039,13.0
1040,14.0
1041,10.0
1042,16.0
1043,8.0
1044,5.0
1045,9.0
1046,4.0
1047,10.0
1048,19.0
1049,13.0
1050,10.0
1051,13.0
1052,8.0
1053,8.0
1054,5.0
1055,13.0
1056,14.0
1057,3.0
1058,5.0
1059,9.0
1060,6.0
1061,13.0
1062,13.0
1063,6.0
1064,4.0
1065,9.0
1066,13.0
1067,11.0
1068,10.0
1069,10.0
1070,4.0
1071,21.0
1072,7.0
1073,10.0
1074,15.0
1075,11.0
1076,8.0
1077,15.0
1078,6.0
1079,4.0
1080,8.0
1081,4.0
1082,7.0
1083,3.0
1084,15.0
1085,8.0
1086,13.0
1087,5.0
1088,16.0
1089,9.0
1090,8.0
1091,9.0
1092,9.0
1093,8.0
1094,12.0
1095,12.0
1096,13.0
1097,13.0
1098,19.0
1099,6.0
1100,8.0
1101,5.0
1102,13.0
1103,10.0
1104,4.0
1105,18.0
1106,11.0
1107,18.0
1108,9.0
1109,16.0
1110,6.0
1111,14.0
1112,8.0
1113,12.0
1114,13.0
1115,13.0
1116,9.0
1117,12.0
1118,15.0
1119,10.0
1120,13.0
1121,10.0
1122,10.0
1123,9.0
1124,13.0
1125,14.0
1126,11.0
1127,3.0
1128,18.0
1129,16.0
1130,16.0
1131,9.0
1132,13.0
1133,7.0
1134,14.0
1135,9.0
1136,7.0
1137,9.0
1138,9.0
1139,13.0
1140,17.0
1141,7.0
1142,11.0
1143,11.0
1144,3.0
1145,15.0
1146,12.0
1147,16.0
1148,7.0
1149,14.0
1150,14.0
1151,20.0
1152,5.0
1153,12.0
1154,14.0
1155,25.0
1156,17.0
1157,9.0
1158,11.0
1159,15.0
1160,14.0
1161,12.0
1162,13.0
1163,12.0
1164,9.0
1165,8.0
1166,16.0
1167,6.0
1168,9.0
1169,18.0
1170,14.0
1171,14.0
1172,14.0
1173,14.0
1174,12.0
1175,16.0
1176,7.0
1177,15.0
1178,9.0
1179,20.0
1180,16.0
1181,6.0
1182,10.0
1183,15.0
1184,16.0
1185,12.0
1186,11.0
1187,18.0
1188,9.0
1189,12.0
1190,22.0
1191,7.0
1192,16.0
1193,14.0
1194,12.0
1195,6.0
1196,13.0
1197,16.0
1198,17.0
1199,12.0
1200,13.0
1201,11.0
1202,10.0
1203,13.0
1204,15.0
1205,6.0
1206,10.0
1207,6.0
1208,11.0
1209,14.0
1210,17.0
1211,16.0
1212,14.0
1213,15.0
1214,12.0
1215,19.0
1216,14.0
1217,7.0
1218,12.0
1219,22.0
1220,20.0
1221,16.0
1222,7.0
1223,9.0
1224,14.0
1225,10.0
1226,11.0
1227,12.0
1228,14.0
1229,14.0
1230,15.0
1231,8.0
1232,12.0
1233,23.0
1234,17.0
1235,20.0
1236,8.0
1237,8.0
1238,15.0
1239,14.0
1240,12.0
1241,15.0
1242,18.0
1243,15.0
1244,11.0
1245,11.0
1246,20.0
1247,6.0
1248,16.0
1249,9.0
1250,18.0
1251,11.0
1252,19.0
1253,15.0
1254,22.0
1255,18.0
1256,9.0
1257,7.0
1258,17.0
1259,16.0
1260,12.0
1261,8.0
1262,18.0
1263,21.0
1264,18.0
1265,11.0
1266,19.0
1267,7.0
1268,8.0
1269,10.0
1270,17.0
1271,15.0
1272,16.0
1273,24.0
1274,19.0
1275,17.0
1276,13.0
1277,7.0
1278,15.0
1279,17.0
1280,18.0
1281,20.0
1282,19.0
1283,15.0
1284,18.0
1285,13.0
1286,19.0
1287,11.0
1288,16.0
1289,15.0
1290,9.0
1291,13.0
1292,18.0
1293,12.0
1294,17.0
1295,20.0
1296,17.0
1297,20.0
1298,16.0
1299,18.0
1300,7.0
1301,13.0
1302,15.0
1303,7.0
1304,15.0
1305,16.0
1306,20.0
1307,13.0
1308,17.0
1309,27.0
1310,14.0
1311,23.0
1312,9.0
1313,18.0
1314,25.0
1315,9.0
1316,12.0
1317,10.0
1318,22.0
1319,18.0
1320,22.0
1321,25.0
1322,17.0
1323,22.0
1324,15.0
1325,5.0
1326,21.0
1327,15.0
1328,15.0
1329,18.0
1330,21.0
1331,22.0
1332,20.0
1333,12.0
1334,13.0
1335,18.0
1336,20.0
1337,18.0
1338,22.0
1339,13.0
1340,19.0
1341,12.0
1342,18.0
1343,17.0
1344,24.0
1345,22.0
1346,24.0
1347,23.0
1348,15.0
1349,24.0
1350,35.0
1351,14.0
1352,23.0
1353,22.0
1354,18.0
1355,28.0
1356,23.0
1357,18.0
1358,20.0
1359,16.0
1360,19.0
1361,21.0
1362,15.0
1363,11.0
1364,24.0
1365,28.0
1366,23.0
1367,15.0
1368,15.0
1369,20.0
1370,16.0
1371,19.0
1372,20.0
1373,28.0
1374,24.0
1375,17.0
1376,28.0
1377,11.0
1378,13.0
1379,20.0
1380,25.0
1381,22.0
1382,18.0
1383,16.0
1384,21.0
1385,19.0
1386,12.0
1387,27.0
1388,11.0
1389,20.0
1390,7.0
