
Average reward over all Episodes: 1.08
Average reward over all Episodes: 1.46
Average reward over last 100 Episodes: 3.27
Average reward over last 100 Episodes: 4.82
Average reward over last 100 Episodes: 5.0
Average reward over last 100 Episodes: 5.33
Average reward over last 100 Episodes: 6.02
Average reward over last 100 Episodes: 6.67
Average reward over last 100 Episodes: 6.81
Average reward over last 100 Episodes: 6.91
Average reward over last 100 Episodes: 7.5
Average reward over last 100 Episodes: 7.59
Average reward over last 100 Episodes: 6.87
Average reward over last 100 Episodes: 6.88
Average reward over last 100 Episodes: 7.37
Average reward over last 100 Episodes: 7.37
Average reward over last 100 Episodes: 7.66
Average reward over last 100 Episodes: 7.98
Average reward over last 100 Episodes: 8.03
Average reward over last 100 Episodes: 8.83
Average reward over last 100 Episodes: 9.14
Average reward over last 100 Episodes: 9.81
Average reward over last 100 Episodes: 11.11
Average reward over last 100 Episodes: 11.59
Average reward over last 100 Episodes: 12.64
Average reward over last 100 Episodes: 14.23
Average reward over last 100 Episodes: 15.79
Average reward over last 100 Episodes: 18.13
Average reward over last 100 Episodes: 20.7
Average reward over last 100 Episodes: 23.87
Average reward over last 100 Episodes: 28.2
Average reward over last 100 Episodes: 35.04
Average reward over last 100 Episodes: 40.53
Average reward over last 100 Episodes: 49.93
Average reward over last 100 Episodes: 45.91
Average reward over last 100 Episodes: 16.65
Average reward over last 100 Episodes: 7.5
Average reward over last 100 Episodes: 36.13
Average reward over last 100 Episodes: 47.83
Average reward over last 100 Episodes: 40.24
Average reward over last 100 Episodes: 55.01
Average reward over last 100 Episodes: 73.44
Average reward over last 100 Episodes: 90.94
Average reward over last 100 Episodes: 87.21
Average reward over last 100 Episodes: 55.65
Average reward over last 100 Episodes: 19.91
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 21.6
Average reward over last 100 Episodes: 21.6
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 8.05
Average reward over last 100 Episodes: 25.64
Average reward over last 100 Episodes: 28.21
Average reward over last 100 Episodes: 10.85
Average reward over last 100 Episodes: 0.23
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 6.05
Average reward over last 100 Episodes: 20.18
Average reward over last 100 Episodes: 14.17
Average reward over last 100 Episodes: 0.91
Average reward over last 100 Episodes: 8.48
Average reward over last 100 Episodes: 7.61
Average reward over last 100 Episodes: 7.11
Average reward over last 100 Episodes: 7.43
Average reward over last 100 Episodes: 8.02
Average reward over last 100 Episodes: 26.62
Average reward over last 100 Episodes: 24.19
Average reward over last 100 Episodes: 5.27
Average reward over last 100 Episodes: 10.97
Average reward over last 100 Episodes: 13.68
Average reward over last 100 Episodes: 28.98
Average reward over last 100 Episodes: 28.65
Average reward over last 100 Episodes: 3.33
Average reward over last 100 Episodes: 1.63
Average reward over last 100 Episodes: 0.81
Average reward over last 100 Episodes: 7.67
Average reward over last 100 Episodes: 7.54
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
