n,score,ave score,test score
264,1.0,1.24,-
265,0.0,1.24,-
266,2.0,1.24,-
267,0.0,1.24,-
268,0.0,1.21,-
269,0.0,1.19,-
270,2.0,1.21,-
271,1.0,1.22,-
272,0.0,1.22,-
273,0.0,1.16,-
274,4.0,1.2,-
275,2.0,1.22,-
276,1.0,1.23,-
277,5.0,1.28,-
278,0.0,1.27,-
279,3.0,1.3,-
280,3.0,1.32,-
281,2.0,1.32,-
282,1.0,1.33,-
283,0.0,1.33,-
284,0.0,1.31,-
285,1.0,1.31,-
286,0.0,1.3,-
287,0.0,1.3,-
288,3.0,1.33,-
289,0.0,1.3,-
290,0.0,1.28,-
291,0.0,1.28,-
292,1.0,1.28,-
293,1.0,1.28,-
294,2.0,1.27,-
295,2.0,1.27,-
296,0.0,1.26,-
297,1.0,1.25,-
298,0.0,1.23,-
299,3.0,1.25,-
300,3.0,1.28,1.0
301,1.0,1.29,-
302,0.0,1.28,-
303,1.0,1.28,-
304,1.0,1.27,-
305,0.0,1.27,-
306,4.0,1.29,-
307,4.0,1.31,-
308,1.0,1.31,-
309,2.0,1.33,-
310,1.0,1.34,-
311,3.0,1.36,-
312,2.0,1.38,-
313,1.0,1.38,-
314,1.0,1.38,-
315,1.0,1.37,-
316,1.0,1.37,-
317,1.0,1.35,-
318,0.0,1.33,-
319,2.0,1.34,-
320,0.0,1.32,-
321,0.0,1.25,-
322,2.0,1.26,-
323,2.0,1.28,-
324,1.0,1.26,-
325,2.0,1.26,-
326,2.0,1.28,-
327,0.0,1.27,-
328,3.0,1.3,-
329,2.0,1.3,-
330,1.0,1.29,-
331,1.0,1.3,-
332,1.0,1.28,-
333,0.0,1.27,-
334,4.0,1.3,-
335,1.0,1.29,-
336,0.0,1.28,-
337,0.0,1.26,-
338,0.0,1.23,-
339,0.0,1.23,-
340,0.0,1.23,-
341,1.0,1.23,-
342,1.0,1.22,-
343,4.0,1.25,-
344,3.0,1.28,-
345,1.0,1.27,-
346,2.0,1.29,-
347,2.0,1.29,-
348,4.0,1.31,-
349,0.0,1.3,-
350,0.0,1.29,0.0
351,4.0,1.33,-
352,4.0,1.37,-
353,1.0,1.37,-
354,0.0,1.37,-
355,1.0,1.37,-
356,1.0,1.33,-
357,0.0,1.32,-
358,1.0,1.32,-
359,2.0,1.33,-
360,1.0,1.32,-
361,1.0,1.31,-
362,1.0,1.29,-
363,3.0,1.31,-
364,0.0,1.3,-
365,1.0,1.31,-
366,1.0,1.3,-
367,0.0,1.3,-
368,0.0,1.3,-
369,3.0,1.33,-
370,1.0,1.32,-
371,1.0,1.32,-
372,1.0,1.33,-
373,2.0,1.35,-
374,2.0,1.33,-
375,0.0,1.31,-
376,0.0,1.3,-
377,0.0,1.25,-
378,0.0,1.25,-
379,1.0,1.23,-
380,0.0,1.2,-
381,0.0,1.18,-
382,0.0,1.17,-
383,2.0,1.19,-
384,2.0,1.21,-
385,1.0,1.21,-
386,2.0,1.23,-
387,4.0,1.27,-
388,5.0,1.29,-
389,0.0,1.29,-
390,3.0,1.32,-
391,1.0,1.33,-
392,1.0,1.33,-
393,1.0,1.33,-
394,3.0,1.34,-
395,0.0,1.32,-
396,1.0,1.33,-
397,3.0,1.35,-
398,0.0,1.35,-
399,1.0,1.33,-
400,1.0,1.31,0.0
401,2.0,1.32,-
402,1.0,1.33,-
403,1.0,1.33,-
404,1.0,1.33,-
405,4.0,1.37,-
406,2.0,1.35,-
407,0.0,1.31,-
408,0.0,1.3,-
409,1.0,1.29,-
410,4.0,1.32,-
411,1.0,1.3,-
412,1.0,1.29,-
413,0.0,1.28,-
414,0.0,1.27,-
415,1.0,1.27,-
416,0.0,1.26,-
417,0.0,1.25,-
418,2.0,1.27,-
419,1.0,1.26,-
420,4.0,1.3,-
421,1.0,1.31,-
422,1.0,1.3,-
423,0.0,1.28,-
424,0.0,1.27,-
425,2.0,1.27,-
426,0.0,1.25,-
427,1.0,1.26,-
428,0.0,1.23,-
429,0.0,1.21,-
430,1.0,1.21,-
431,0.0,1.2,-
432,0.0,1.19,-
433,3.0,1.22,-
434,0.0,1.18,-
435,3.0,1.2,-
436,1.0,1.21,-
437,0.0,1.21,-
438,0.0,1.21,-
439,0.0,1.21,-
