,0
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,0.0
6,0.0
7,0.0
8,2.0
9,0.0
10,2.0
11,0.0
12,0.0
13,1.0
14,0.0
15,0.0
16,0.0
17,4.0
18,1.0
19,1.0
20,0.0
21,0.0
22,2.0
23,1.0
24,0.0
25,0.0
26,1.0
27,2.0
28,3.0
29,0.0
30,2.0
31,0.0
32,0.0
33,3.0
34,2.0
35,0.0
36,2.0
37,0.0
38,2.0
39,2.0
40,2.0
41,2.0
42,0.0
43,0.0
44,2.0
45,1.0
46,0.0
47,1.0
48,1.0
49,2.0
50,0.0
51,1.0
52,0.0
53,1.0
54,4.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,4.0
63,1.0
64,1.0
65,2.0
66,3.0
67,0.0
68,0.0
69,0.0
70,2.0
71,0.0
72,1.0
73,1.0
74,2.0
75,1.0
76,0.0
77,2.0
78,0.0
79,0.0
80,5.0
81,3.0
82,0.0
83,1.0
84,1.0
85,1.0
86,0.0
87,0.0
88,0.0
89,1.0
90,0.0
91,1.0
92,3.0
93,1.0
94,2.0
95,1.0
96,0.0
97,0.0
98,3.0
99,3.0
100,0.0
101,1.0
102,2.0
103,1.0
104,0.0
105,0.0
106,1.0
107,1.0
108,2.0
109,3.0
110,0.0
111,1.0
112,0.0
113,3.0
114,0.0
115,1.0
116,2.0
117,2.0
118,0.0
119,3.0
120,0.0
121,2.0
122,1.0
123,0.0
124,2.0
125,1.0
126,1.0
127,1.0
128,0.0
129,0.0
130,0.0
131,0.0
132,2.0
133,0.0
134,2.0
135,3.0
136,0.0
137,2.0
138,0.0
139,2.0
140,4.0
141,1.0
142,3.0
143,1.0
144,2.0
145,0.0
146,0.0
147,2.0
148,3.0
149,1.0
150,1.0
151,3.0
152,2.0
153,1.0
154,1.0
155,0.0
156,1.0
157,0.0
158,0.0
159,4.0
160,2.0
161,1.0
162,2.0
163,2.0
164,2.0
165,1.0
166,1.0
167,2.0
168,1.0
169,0.0
170,0.0
171,5.0
172,0.0
173,4.0
174,3.0
175,1.0
176,1.0
177,2.0
178,2.0
179,2.0
180,4.0
181,1.0
182,3.0
183,0.0
184,6.0
185,1.0
186,9.0
187,2.0
188,0.0
189,4.0
190,3.0
191,0.0
192,1.0
193,4.0
194,3.0
195,0.0
196,0.0
197,1.0
198,1.0
199,0.0
200,1.0
201,3.0
202,0.0
203,0.0
204,2.0
205,1.0
206,1.0
207,2.0
208,3.0
