,0
532,7.0
533,7.0
534,3.0
535,3.0
536,3.0
537,7.0
538,7.0
539,3.0
540,7.0
541,3.0
542,11.0
543,5.0
544,5.0
545,12.0
546,7.0
547,7.0
548,11.0
549,8.0
550,4.0
551,3.0
552,4.0
553,7.0
554,3.0
555,3.0
556,8.0
557,5.0
558,11.0
559,3.0
560,7.0
561,3.0
562,3.0
563,7.0
564,3.0
565,7.0
566,7.0
567,3.0
568,3.0
569,11.0
570,3.0
571,5.0
572,9.0
573,7.0
574,7.0
575,7.0
576,7.0
577,11.0
578,5.0
579,11.0
580,9.0
581,5.0
582,7.0
583,7.0
584,4.0
585,9.0
586,3.0
587,2.0
588,3.0
589,5.0
590,4.0
591,7.0
592,3.0
593,7.0
594,7.0
595,2.0
596,7.0
597,4.0
598,7.0
599,7.0
600,3.0
601,1.0
602,11.0
603,11.0
604,8.0
605,11.0
606,8.0
607,8.0
608,4.0
609,7.0
610,3.0
611,8.0
612,4.0
613,11.0
614,5.0
615,7.0
616,5.0
617,3.0
618,3.0
619,3.0
620,11.0
621,4.0
622,2.0
623,3.0
624,7.0
625,4.0
626,11.0
627,3.0
628,11.0
629,3.0
630,7.0
631,11.0
632,3.0
633,7.0
634,7.0
635,2.0
636,7.0
637,3.0
638,9.0
639,3.0
640,7.0
641,4.0
642,7.0
643,11.0
644,4.0
645,7.0
646,7.0
647,3.0
648,7.0
649,11.0
650,3.0
651,8.0
652,11.0
653,11.0
654,7.0
655,7.0
656,5.0
657,8.0
658,7.0
659,3.0
660,3.0
661,7.0
662,4.0
663,3.0
664,7.0
665,7.0
666,5.0
667,11.0
668,3.0
669,7.0
670,7.0
671,3.0
672,7.0
673,11.0
674,3.0
675,7.0
676,7.0
677,5.0
678,8.0
679,3.0
680,7.0
681,4.0
682,8.0
683,7.0
684,3.0
685,3.0
686,11.0
687,9.0
688,7.0
689,7.0
690,5.0
691,7.0
692,7.0
693,7.0
694,11.0
695,3.0
696,11.0
697,7.0
698,11.0
699,5.0
700,7.0
701,3.0
702,3.0
703,3.0
704,7.0
705,6.0
706,2.0
707,3.0
708,4.0
709,7.0
710,3.0
711,7.0
712,7.0
713,2.0
714,3.0
715,7.0
716,3.0
717,2.0
718,7.0
719,4.0
720,11.0
721,3.0
722,11.0
723,7.0
724,3.0
725,1.0
726,7.0
727,7.0
728,8.0
729,7.0
730,3.0
731,7.0
732,7.0
733,7.0
734,4.0
735,3.0
736,6.0
737,2.0
738,2.0
739,7.0
740,7.0
741,4.0
742,7.0
743,7.0
744,5.0
745,3.0
746,5.0
747,3.0
748,3.0
749,7.0
750,3.0
751,3.0
752,5.0
753,8.0
754,6.0
755,7.0
756,7.0
757,7.0
758,7.0
759,8.0
760,3.0
761,5.0
762,5.0
763,5.0
764,3.0
765,6.0
766,7.0
767,5.0
768,11.0
769,7.0
770,7.0
771,3.0
772,7.0
773,7.0
774,7.0
775,7.0
776,7.0
777,3.0
778,8.0
779,2.0
780,7.0
781,7.0
782,4.0
783,3.0
784,11.0
785,11.0
786,7.0
787,7.0
788,9.0
789,7.0
790,3.0
791,7.0
792,7.0
793,11.0
794,11.0
795,5.0
796,3.0
797,3.0
798,11.0
799,2.0
800,7.0
801,7.0
802,3.0
803,4.0
804,3.0
