,0
532,7.0
533,3.0
534,3.0
535,4.0
536,11.0
537,2.0
538,3.0
539,7.0
540,6.0
541,7.0
542,7.0
543,3.0
544,4.0
545,9.0
546,11.0
547,6.0
548,2.0
549,2.0
550,3.0
551,7.0
552,3.0
553,7.0
554,5.0
555,4.0
556,3.0
557,8.0
558,8.0
559,7.0
560,2.0
561,3.0
562,3.0
563,4.0
564,11.0
565,7.0
566,7.0
567,4.0
568,3.0
569,4.0
570,11.0
571,7.0
572,3.0
573,9.0
574,4.0
575,7.0
576,7.0
577,9.0
578,7.0
579,3.0
580,7.0
581,3.0
582,7.0
583,7.0
584,7.0
585,3.0
586,7.0
587,1.0
588,5.0
589,4.0
590,2.0
591,11.0
592,3.0
593,7.0
594,7.0
595,4.0
596,7.0
597,11.0
598,11.0
599,11.0
600,11.0
601,11.0
602,3.0
603,7.0
604,10.0
605,3.0
606,11.0
607,3.0
608,7.0
609,7.0
610,6.0
611,7.0
612,11.0
613,3.0
614,5.0
615,11.0
616,11.0
617,8.0
618,9.0
619,5.0
620,7.0
621,7.0
622,3.0
623,7.0
624,3.0
625,3.0
626,3.0
627,3.0
628,4.0
629,7.0
630,7.0
631,5.0
632,3.0
633,7.0
634,7.0
635,7.0
636,7.0
637,7.0
638,11.0
639,11.0
640,3.0
641,7.0
642,3.0
643,7.0
644,11.0
645,11.0
646,3.0
647,11.0
648,3.0
649,7.0
650,7.0
651,4.0
652,3.0
653,3.0
654,7.0
655,3.0
656,3.0
657,12.0
658,3.0
659,3.0
660,7.0
661,2.0
662,7.0
663,7.0
664,8.0
665,7.0
666,3.0
667,3.0
668,7.0
669,11.0
670,3.0
671,7.0
672,7.0
673,3.0
674,3.0
675,7.0
676,2.0
677,3.0
678,3.0
679,7.0
680,3.0
681,3.0
682,7.0
683,11.0
684,4.0
685,3.0
686,11.0
687,3.0
688,11.0
689,11.0
690,7.0
691,7.0
692,11.0
693,3.0
694,11.0
695,11.0
696,7.0
697,11.0
698,7.0
699,7.0
700,7.0
701,7.0
702,9.0
703,7.0
704,5.0
705,7.0
706,7.0
707,3.0
708,7.0
709,7.0
710,5.0
711,7.0
712,3.0
713,1.0
714,1.0
715,4.0
716,7.0
717,11.0
718,3.0
719,3.0
720,3.0
721,4.0
722,9.0
723,11.0
724,8.0
725,7.0
726,3.0
727,3.0
728,4.0
729,7.0
730,3.0
731,2.0
732,3.0
733,4.0
734,11.0
735,7.0
736,7.0
737,3.0
738,5.0
739,7.0
740,3.0
741,7.0
742,11.0
743,11.0
744,2.0
745,3.0
746,3.0
747,3.0
748,7.0
749,7.0
750,3.0
751,5.0
752,2.0
753,7.0
754,11.0
755,4.0
756,5.0
757,9.0
758,7.0
759,7.0
760,5.0
761,7.0
762,7.0
763,8.0
764,7.0
765,10.0
766,7.0
767,4.0
768,7.0
769,11.0
770,7.0
771,7.0
772,11.0
773,8.0
774,11.0
775,7.0
776,9.0
777,7.0
778,7.0
779,7.0
780,3.0
781,3.0
782,2.0
783,11.0
784,3.0
785,7.0
786,11.0
787,7.0
788,7.0
789,7.0
790,3.0
791,7.0
792,11.0
793,5.0
794,11.0
795,7.0
796,7.0
797,5.0
798,7.0
799,10.0
800,8.0
801,11.0
802,5.0
803,7.0
804,7.0
805,11.0
806,11.0
807,3.0
808,3.0
809,7.0
810,11.0
811,3.0
812,7.0
813,7.0
814,7.0
815,2.0
816,3.0
817,11.0
818,7.0
819,7.0
820,7.0
821,6.0
822,7.0
823,11.0
824,7.0
825,11.0
826,3.0
827,3.0
828,2.0
829,7.0
830,7.0
831,4.0
832,11.0
833,7.0
834,2.0
835,3.0
836,7.0
837,6.0
838,3.0
839,3.0
840,5.0
841,5.0
842,7.0
843,7.0
844,7.0
845,8.0
846,7.0
847,7.0
848,4.0
849,7.0
850,8.0
851,5.0
852,5.0
853,11.0
854,3.0
855,7.0
856,3.0
857,4.0
858,3.0
859,4.0
860,2.0
861,9.0
862,7.0
863,11.0
864,9.0
865,7.0
866,3.0
867,11.0
868,3.0
869,5.0
870,9.0
871,7.0
872,4.0
873,7.0
874,7.0
875,11.0
876,9.0
877,10.0
878,11.0
879,3.0
880,7.0
881,11.0
882,7.0
883,7.0
884,9.0
885,7.0
886,7.0
887,7.0
888,7.0
889,7.0
890,3.0
891,7.0
892,7.0
893,3.0
894,6.0
895,11.0
896,11.0
897,7.0
898,11.0
899,9.0
900,11.0
901,11.0
902,7.0
903,7.0
904,4.0
905,11.0
906,9.0
907,7.0
908,11.0
909,7.0
910,8.0
911,7.0
912,11.0
913,3.0
914,9.0
915,7.0
916,7.0
917,7.0
918,7.0
919,9.0
920,7.0
921,7.0
922,4.0
923,7.0
924,5.0
925,4.0
926,2.0
927,11.0
928,3.0
929,5.0
930,7.0
931,8.0
932,4.0
933,11.0
934,8.0
935,3.0
936,11.0
937,8.0
938,8.0
939,11.0
940,2.0
941,1.0
942,7.0
943,6.0
944,10.0
945,8.0
946,7.0
947,11.0
948,7.0
949,7.0
950,3.0
951,5.0
952,5.0
953,4.0
954,7.0
955,7.0
956,7.0
957,7.0
958,7.0
959,3.0
960,8.0
961,3.0
962,11.0
963,3.0
964,3.0
965,7.0
966,7.0
967,7.0
968,3.0
969,3.0
970,11.0
971,3.0
972,7.0
973,11.0
974,3.0
975,4.0
976,7.0
977,7.0
978,7.0
979,11.0
980,2.0
981,7.0
982,8.0
983,5.0
984,3.0
985,7.0
986,7.0
987,3.0
988,11.0
989,7.0
990,3.0
991,4.0
992,7.0
993,5.0
994,8.0
995,4.0
996,6.0
997,7.0
998,3.0
999,7.0
1000,7.0
1001,3.0
1002,7.0
1003,8.0
1004,3.0
1005,2.0
1006,5.0
1007,11.0
1008,5.0
1009,7.0
1010,4.0
1011,8.0
1012,11.0
1013,11.0
1014,11.0
1015,4.0
1016,4.0
1017,8.0
1018,3.0
1019,4.0
1020,2.0
1021,4.0
1022,8.0
1023,7.0
1024,1.0
1025,2.0
1026,5.0
1027,4.0
1028,5.0
1029,11.0
1030,3.0
1031,11.0
1032,7.0
1033,4.0
1034,3.0
1035,7.0
1036,11.0
1037,11.0
1038,7.0
1039,7.0
1040,11.0
1041,7.0
1042,3.0
1043,3.0
1044,11.0
1045,7.0
1046,6.0
1047,7.0
1048,7.0
1049,7.0
1050,3.0
1051,9.0
1052,8.0
1053,7.0
1054,7.0
1055,11.0
1056,9.0
1057,3.0
1058,9.0
1059,7.0
1060,7.0
1061,11.0
1062,2.0
1063,6.0
1064,7.0
1065,6.0
1066,4.0
1067,11.0
1068,11.0
1069,11.0
1070,3.0
1071,7.0
1072,8.0
1073,3.0
1074,11.0
1075,11.0
1076,2.0
1077,11.0
1078,4.0
1079,11.0
1080,11.0
1081,8.0
1082,8.0
1083,8.0
1084,11.0
1085,11.0
1086,4.0
1087,8.0
1088,7.0
1089,8.0
1090,3.0
1091,9.0
1092,3.0
1093,3.0
1094,7.0
1095,7.0
1096,8.0
1097,9.0
1098,11.0
1099,7.0
1100,5.0
1101,2.0
1102,2.0
1103,9.0
1104,0.0
1105,11.0
1106,3.0
1107,11.0
1108,7.0
1109,8.0
1110,11.0
1111,11.0
1112,7.0
1113,11.0
1114,7.0
1115,7.0
1116,3.0
1117,3.0
1118,7.0
1119,3.0
1120,7.0
1121,8.0
1122,7.0
1123,5.0
1124,7.0
1125,7.0
1126,8.0
1127,7.0
1128,3.0
1129,1.0
1130,4.0
1131,3.0
1132,7.0
1133,4.0
1134,7.0
1135,7.0
1136,2.0
1137,1.0
1138,7.0
1139,7.0
1140,4.0
1141,4.0
1142,11.0
1143,11.0
1144,11.0
1145,11.0
1146,5.0
1147,2.0
1148,7.0
1149,7.0
1150,11.0
1151,3.0
1152,4.0
1153,10.0
1154,5.0
1155,3.0
1156,8.0
1157,7.0
1158,8.0
1159,7.0
1160,3.0
1161,11.0
1162,12.0
1163,11.0
1164,7.0
1165,7.0
1166,7.0
1167,7.0
1168,4.0
1169,7.0
1170,11.0
1171,11.0
1172,13.0
1173,5.0
1174,11.0
1175,11.0
1176,11.0
1177,11.0
1178,11.0
1179,7.0
1180,4.0
1181,11.0
1182,8.0
1183,11.0
1184,11.0
1185,7.0
1186,8.0
1187,4.0
1188,11.0
1189,11.0
1190,5.0
1191,11.0
1192,7.0
1193,7.0
1194,7.0
1195,7.0
1196,11.0
1197,11.0
1198,4.0
1199,11.0
1200,8.0
1201,4.0
1202,4.0
1203,9.0
1204,8.0
1205,11.0
1206,9.0
1207,7.0
1208,11.0
1209,11.0
1210,11.0
1211,7.0
1212,8.0
1213,11.0
1214,7.0
1215,7.0
1216,7.0
1217,3.0
1218,12.0
1219,11.0
1220,7.0
1221,3.0
1222,11.0
1223,8.0
1224,9.0
1225,7.0
1226,7.0
1227,4.0
1228,11.0
1229,7.0
1230,5.0
1231,11.0
1232,11.0
1233,11.0
1234,9.0
1235,11.0
1236,11.0
1237,7.0
1238,7.0
1239,11.0
1240,7.0
1241,11.0
1242,11.0
1243,3.0
1244,1.0
1245,4.0
1246,4.0
1247,11.0
1248,11.0
1249,11.0
1250,9.0
