
Average reward over all Episodes: 1.32
Average reward over all Episodes: 1.54
Average reward over last 100 Episodes: 3.35
Average reward over last 100 Episodes: 5.29
Average reward over last 100 Episodes: 5.36
Average reward over last 100 Episodes: 5.48
Average reward over last 100 Episodes: 5.99
Average reward over last 100 Episodes: 6.29
Average reward over last 100 Episodes: 6.58
Average reward over last 100 Episodes: 6.86
Average reward over last 100 Episodes: 6.89
Average reward over last 100 Episodes: 7.02
Average reward over last 100 Episodes: 7.02
Average reward over last 100 Episodes: 6.93
Average reward over last 100 Episodes: 7.01
Average reward over last 100 Episodes: 7.62
Average reward over last 100 Episodes: 8.75
Average reward over last 100 Episodes: 9.12
Average reward over last 100 Episodes: 8.5
Average reward over last 100 Episodes: 8.49
Average reward over last 100 Episodes: 9.25
Average reward over last 100 Episodes: 9.62
Average reward over last 100 Episodes: 9.92
Average reward over last 100 Episodes: 10.65
Average reward over last 100 Episodes: 12.14
Average reward over last 100 Episodes: 14.17
Average reward over last 100 Episodes: 15.73
Average reward over last 100 Episodes: 17.17
Average reward over last 100 Episodes: 19.47
Average reward over last 100 Episodes: 22.58
Average reward over last 100 Episodes: 26.37
Average reward over last 100 Episodes: 32.44
Average reward over last 100 Episodes: 42.32
Average reward over last 100 Episodes: 50.05
Average reward over last 100 Episodes: 46.1
Average reward over last 100 Episodes: 20.09
Average reward over last 100 Episodes: 3.38
Average reward over last 100 Episodes: 37.14
Average reward over last 100 Episodes: 58.63
Average reward over last 100 Episodes: 45.4
Average reward over last 100 Episodes: 55.48
Average reward over last 100 Episodes: 76.88
Average reward over last 100 Episodes: 90.48
Average reward over last 100 Episodes: 80.21
Average reward over last 100 Episodes: 61.88
Average reward over last 100 Episodes: 30.22
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 20.32
Average reward over last 100 Episodes: 20.32
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 3.85
Average reward over last 100 Episodes: 27.69
Average reward over last 100 Episodes: 33.38
Average reward over last 100 Episodes: 9.76
Average reward over last 100 Episodes: 0.22
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 5.72
Average reward over last 100 Episodes: 22.22
Average reward over last 100 Episodes: 16.52
Average reward over last 100 Episodes: 0.76
Average reward over last 100 Episodes: 7.61
Average reward over last 100 Episodes: 6.87
Average reward over last 100 Episodes: 1.86
Average reward over last 100 Episodes: 5.66
Average reward over last 100 Episodes: 11.52
Average reward over last 100 Episodes: 26.45
Average reward over last 100 Episodes: 27.6
Average reward over last 100 Episodes: 8.87
Average reward over last 100 Episodes: 0.15
Average reward over last 100 Episodes: 10.96
Average reward over last 100 Episodes: 35.74
Average reward over last 100 Episodes: 26.91
Average reward over last 100 Episodes: 1.98
Average reward over last 100 Episodes: 1.61
Average reward over last 100 Episodes: 1.61
Average reward over last 100 Episodes: 7.52
Average reward over last 100 Episodes: 7.52
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
