
Average reward over all Episodes: 1.32
Average reward over all Episodes: 1.87
Average reward over last 100 Episodes: 3.72
Average reward over last 100 Episodes: 4.84
Average reward over last 100 Episodes: 4.78
Average reward over last 100 Episodes: 5.71
Average reward over last 100 Episodes: 6.76
Average reward over last 100 Episodes: 6.56
Average reward over last 100 Episodes: 6.44
Average reward over last 100 Episodes: 6.7
Average reward over last 100 Episodes: 6.92
Average reward over last 100 Episodes: 7.2
Average reward over last 100 Episodes: 6.86
Average reward over last 100 Episodes: 7.13
Average reward over last 100 Episodes: 7.67
Average reward over last 100 Episodes: 7.76
Average reward over last 100 Episodes: 7.96
Average reward over last 100 Episodes: 7.92
Average reward over last 100 Episodes: 7.93
Average reward over last 100 Episodes: 8.56
Average reward over last 100 Episodes: 9.55
Average reward over last 100 Episodes: 10.58
Average reward over last 100 Episodes: 11.19
Average reward over last 100 Episodes: 11.61
Average reward over last 100 Episodes: 13.1
Average reward over last 100 Episodes: 14.71
Average reward over last 100 Episodes: 15.92
Average reward over last 100 Episodes: 18.41
Average reward over last 100 Episodes: 21.18
Average reward over last 100 Episodes: 23.55
Average reward over last 100 Episodes: 29.31
Average reward over last 100 Episodes: 37.52
Average reward over last 100 Episodes: 45.16
Average reward over last 100 Episodes: 52.36
Average reward over last 100 Episodes: 37.01
Average reward over last 100 Episodes: 9.13
Average reward over last 100 Episodes: 14.26
Average reward over last 100 Episodes: 46.75
Average reward over last 100 Episodes: 45.27
Average reward over last 100 Episodes: 41.21
Average reward over last 100 Episodes: 65.26
Average reward over last 100 Episodes: 85.04
Average reward over last 100 Episodes: 90.62
Average reward over last 100 Episodes: 92.35
Average reward over last 100 Episodes: 60.2
Average reward over last 100 Episodes: 10.26
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 24.42
Average reward over last 100 Episodes: 24.42
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 11.95
Average reward over last 100 Episodes: 34.59
Average reward over last 100 Episodes: 29.53
Average reward over last 100 Episodes: 7.16
Average reward over last 100 Episodes: 0.27
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 10.14
Average reward over last 100 Episodes: 21.79
Average reward over last 100 Episodes: 11.68
Average reward over last 100 Episodes: 1.03
Average reward over last 100 Episodes: 9.47
Average reward over last 100 Episodes: 8.47
Average reward over last 100 Episodes: 6.1
Average reward over last 100 Episodes: 6.44
Average reward over last 100 Episodes: 11.84
Average reward over last 100 Episodes: 26.37
Average reward over last 100 Episodes: 21.2
Average reward over last 100 Episodes: 6.33
Average reward over last 100 Episodes: 9.74
Average reward over last 100 Episodes: 15.46
Average reward over last 100 Episodes: 27.52
Average reward over last 100 Episodes: 23.64
Average reward over last 100 Episodes: 2.81
Average reward over last 100 Episodes: 1.48
Average reward over last 100 Episodes: 0.92
Average reward over last 100 Episodes: 7.27
Average reward over last 100 Episodes: 6.86
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
