
Average reward over all Episodes: 1.14
Average reward over all Episodes: 1.6
Average reward over last 100 Episodes: 3.76
Average reward over last 100 Episodes: 5.45
Average reward over last 100 Episodes: 5.28
Average reward over last 100 Episodes: 5.43
Average reward over last 100 Episodes: 6.32
Average reward over last 100 Episodes: 7.12
Average reward over last 100 Episodes: 6.84
Average reward over last 100 Episodes: 6.35
Average reward over last 100 Episodes: 6.82
Average reward over last 100 Episodes: 7.12
Average reward over last 100 Episodes: 6.94
Average reward over last 100 Episodes: 7.48
Average reward over last 100 Episodes: 7.83
Average reward over last 100 Episodes: 7.81
Average reward over last 100 Episodes: 8.07
Average reward over last 100 Episodes: 8.26
Average reward over last 100 Episodes: 8.04
Average reward over last 100 Episodes: 8.73
Average reward over last 100 Episodes: 9.97
Average reward over last 100 Episodes: 9.92
Average reward over last 100 Episodes: 10.33
Average reward over last 100 Episodes: 11.72
Average reward over last 100 Episodes: 12.83
Average reward over last 100 Episodes: 13.85
Average reward over last 100 Episodes: 16.11
Average reward over last 100 Episodes: 18.97
Average reward over last 100 Episodes: 21.01
Average reward over last 100 Episodes: 24.2
Average reward over last 100 Episodes: 28.48
Average reward over last 100 Episodes: 35.92
Average reward over last 100 Episodes: 46.2
Average reward over last 100 Episodes: 54.71
Average reward over last 100 Episodes: 36.65
Average reward over last 100 Episodes: 7.41
Average reward over last 100 Episodes: 18.43
Average reward over last 100 Episodes: 49.15
Average reward over last 100 Episodes: 43.31
Average reward over last 100 Episodes: 38.65
Average reward over last 100 Episodes: 62.89
Average reward over last 100 Episodes: 80.93
Average reward over last 100 Episodes: 86.09
Average reward over last 100 Episodes: 95.94
Average reward over last 100 Episodes: 55.92
Average reward over last 100 Episodes: 1.97
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 1.98
Average reward over last 100 Episodes: 20.25
Average reward over last 100 Episodes: 18.27
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 9.75
Average reward over last 100 Episodes: 27.25
Average reward over last 100 Episodes: 26.42
Average reward over last 100 Episodes: 9.17
Average reward over last 100 Episodes: 0.25
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 10.07
Average reward over last 100 Episodes: 22.99
Average reward over last 100 Episodes: 12.95
Average reward over last 100 Episodes: 1.01
Average reward over last 100 Episodes: 6.79
Average reward over last 100 Episodes: 5.81
Average reward over last 100 Episodes: 6.83
Average reward over last 100 Episodes: 7.17
Average reward over last 100 Episodes: 9.71
Average reward over last 100 Episodes: 22.53
Average reward over last 100 Episodes: 21.96
Average reward over last 100 Episodes: 8.8
Average reward over last 100 Episodes: 11.96
Average reward over last 100 Episodes: 13.59
Average reward over last 100 Episodes: 21.8
Average reward over last 100 Episodes: 22.53
Average reward over last 100 Episodes: 3.34
Average reward over last 100 Episodes: 1.56
Average reward over last 100 Episodes: 0.58
Average reward over last 100 Episodes: 9.23
Average reward over last 100 Episodes: 9.23
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
