
Average reward over all Episodes: 1.46
Average reward over all Episodes: 1.66
Average reward over last 100 Episodes: 3.51
Average reward over last 100 Episodes: 5.24
Average reward over last 100 Episodes: 5.27
Average reward over last 100 Episodes: 5.49
Average reward over last 100 Episodes: 5.82
Average reward over last 100 Episodes: 6.53
Average reward over last 100 Episodes: 7.09
Average reward over last 100 Episodes: 6.91
Average reward over last 100 Episodes: 6.42
Average reward over last 100 Episodes: 6.68
Average reward over last 100 Episodes: 6.82
Average reward over last 100 Episodes: 6.83
Average reward over last 100 Episodes: 6.96
Average reward over last 100 Episodes: 7.32
Average reward over last 100 Episodes: 8.14
Average reward over last 100 Episodes: 8.49
Average reward over last 100 Episodes: 8.75
Average reward over last 100 Episodes: 8.87
Average reward over last 100 Episodes: 9.77
Average reward over last 100 Episodes: 10.19
Average reward over last 100 Episodes: 11.09
Average reward over last 100 Episodes: 12.19
Average reward over last 100 Episodes: 12.5
Average reward over last 100 Episodes: 14.36
Average reward over last 100 Episodes: 16.32
Average reward over last 100 Episodes: 18.5
Average reward over last 100 Episodes: 21.47
Average reward over last 100 Episodes: 24.66
Average reward over last 100 Episodes: 29.19
Average reward over last 100 Episodes: 36.31
Average reward over last 100 Episodes: 45.95
Average reward over last 100 Episodes: 51.44
Average reward over last 100 Episodes: 37.15
Average reward over last 100 Episodes: 11.28
Average reward over last 100 Episodes: 14.54
Average reward over last 100 Episodes: 48.75
Average reward over last 100 Episodes: 51.24
Average reward over last 100 Episodes: 43.29
Average reward over last 100 Episodes: 62.69
Average reward over last 100 Episodes: 82.18
Average reward over last 100 Episodes: 90.76
Average reward over last 100 Episodes: 94.63
Average reward over last 100 Episodes: 49.7
Average reward over last 100 Episodes: 0.08
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 17.18
Average reward over last 100 Episodes: 23.78
Average reward over last 100 Episodes: 6.6
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 19.15
Average reward over last 100 Episodes: 33.27
Average reward over last 100 Episodes: 22.14
Average reward over last 100 Episodes: 8.17
Average reward over last 100 Episodes: 0.15
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 23.07
Average reward over last 100 Episodes: 24.71
Average reward over last 100 Episodes: 1.67
Average reward over last 100 Episodes: 5.77
Average reward over last 100 Episodes: 5.8
Average reward over last 100 Episodes: 0.06
Average reward over last 100 Episodes: 6.02
Average reward over last 100 Episodes: 6.31
Average reward over last 100 Episodes: 30.02
Average reward over last 100 Episodes: 36.73
Average reward over last 100 Episodes: 7.82
Average reward over last 100 Episodes: 0.82
Average reward over last 100 Episodes: 10.46
Average reward over last 100 Episodes: 29.28
Average reward over last 100 Episodes: 27.46
Average reward over last 100 Episodes: 8.64
Average reward over last 100 Episodes: 1.76
Average reward over last 100 Episodes: 1.76
Average reward over last 100 Episodes: 2.55
Average reward over last 100 Episodes: 8.34
Average reward over last 100 Episodes: 5.79
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
Average reward over last 100 Episodes: 0.0
