,0
532,11.0
533,3.0
534,7.0
535,4.0
536,4.0
537,3.0
538,4.0
539,3.0
540,11.0
541,7.0
542,11.0
543,7.0
544,7.0
545,11.0
546,8.0
547,11.0
548,7.0
549,4.0
550,11.0
551,11.0
552,7.0
553,8.0
554,4.0
555,11.0
556,7.0
557,4.0
558,3.0
559,9.0
560,3.0
561,8.0
562,3.0
563,11.0
564,7.0
565,3.0
566,8.0
567,11.0
568,4.0
569,7.0
570,3.0
571,7.0
572,5.0
573,3.0
574,11.0
575,4.0
576,3.0
577,7.0
578,8.0
579,5.0
580,11.0
581,11.0
582,7.0
583,7.0
584,8.0
585,7.0
586,11.0
587,11.0
588,7.0
589,7.0
590,1.0
591,7.0
592,4.0
593,7.0
594,9.0
595,7.0
596,4.0
597,12.0
598,12.0
599,4.0
600,11.0
601,7.0
602,3.0
603,3.0
604,7.0
605,4.0
606,3.0
607,9.0
608,11.0
609,4.0
610,11.0
611,7.0
612,7.0
613,11.0
614,8.0
615,8.0
616,11.0
617,4.0
618,4.0
619,11.0
620,11.0
621,7.0
622,8.0
623,11.0
624,11.0
625,3.0
626,3.0
627,7.0
628,7.0
629,3.0
630,3.0
631,4.0
632,7.0
633,7.0
634,8.0
635,7.0
636,11.0
637,2.0
638,5.0
639,3.0
640,7.0
641,11.0
642,3.0
643,1.0
644,4.0
645,3.0
646,11.0
647,7.0
648,7.0
649,7.0
650,3.0
651,3.0
652,5.0
653,12.0
654,3.0
655,7.0
656,7.0
657,12.0
658,11.0
659,3.0
660,11.0
661,10.0
662,3.0
663,5.0
664,3.0
665,5.0
666,11.0
667,4.0
668,7.0
669,8.0
670,4.0
671,7.0
672,5.0
673,8.0
674,7.0
675,12.0
676,8.0
677,8.0
678,11.0
679,3.0
680,3.0
681,8.0
682,8.0
683,7.0
684,11.0
685,7.0
686,7.0
687,7.0
688,3.0
689,11.0
690,4.0
691,5.0
692,11.0
693,5.0
694,3.0
695,3.0
696,11.0
697,4.0
698,7.0
699,11.0
700,9.0
701,2.0
702,8.0
703,8.0
704,11.0
705,3.0
706,3.0
707,4.0
708,11.0
709,3.0
710,8.0
711,11.0
712,8.0
713,6.0
714,3.0
715,5.0
716,12.0
717,8.0
718,8.0
719,7.0
720,9.0
721,2.0
722,4.0
723,3.0
724,4.0
725,12.0
726,3.0
727,7.0
728,8.0
729,11.0
730,12.0
731,7.0
732,4.0
733,9.0
734,8.0
735,5.0
736,3.0
737,6.0
738,8.0
739,4.0
740,8.0
741,6.0
742,9.0
743,8.0
744,11.0
745,11.0
746,4.0
747,5.0
748,8.0
749,11.0
750,4.0
751,9.0
752,12.0
753,3.0
754,7.0
755,3.0
756,8.0
757,7.0
758,11.0
759,3.0
760,3.0
761,8.0
762,8.0
763,4.0
764,4.0
765,6.0
766,4.0
767,3.0
768,3.0
769,7.0
770,4.0
771,9.0
772,7.0
773,5.0
774,14.0
775,7.0
776,12.0
777,8.0
778,4.0
779,3.0
780,12.0
781,11.0
782,12.0
783,4.0
784,8.0
785,4.0
786,5.0
787,12.0
788,3.0
789,11.0
